ORIG_FID,대분류,area,Shape_Length,Shape_Area
2056,조경녹지,25857.5002,727.7445419,32834.56284
2060,하천,6756.568342,504.6435617,11489.66327
2075,조경녹지,20913.73432,1829.962714,38960.5795
2076,초지,5165.483185,370.7179322,8592.368372
2080,조경녹지,49366.45904,2192.796263,71011.39505
2081,조경녹지,7376.380977,1174.399448,18809.45919
2085,경작지,11638.3585,518.7034815,16510.97399
2089,경작지,19829.46564,682.0076449,26779.95455
2090,경작지,6594.112212,402.6759087,10306.39887
2091,경작지,39201.479,1047.323381,49360.28902
2093,경작지,65972.90447,1110.522419,76771.80374
2094,경작지,36912.34753,834.7460994,45484.7735
2096,조경녹지,18466.08541,1144.371504,29638.1524
2100,경작지,8531.259432,601.1681119,14941.6501
2101,경작지,8337.928641,436.9152971,12394.48752
2104,경작지,5073.339825,351.6843967,8276.465558
2110,하천,7675.853932,628.3744419,13647.46089
2114,경작지,18611.05905,624.348297,24540.12056
2115,경작지,21130.56831,797.0231095,29009.84683
2119,조경녹지,9205.44542,805.1928197,17360.39409
2123,경작지,52652.54096,1240.357529,67073.48753
2126,경작지,18199.82104,607.7340827,23963.90609
2127,경작지,26783.91941,847.6974936,35181.16987
2130,하천,98043.8052,3577.45534,133523.1735
2132,경작지,7353.498502,405.8192288,11100.72784
2135,조경녹지,203253.9486,11993.70784,329495.1498
2140,경작지,11132.38729,619.7419487,17015.41799
2144,경작지,5754.955479,563.7846614,11078.2723
2145,경작지,9187.657668,461.0325004,13483.78193
2146,경작지,12652.96844,500.4349723,17342.77394
2147,경작지,13146.64151,511.4003849,17975.8708
2148,경작지,9757.850213,466.1580996,14105.49328
2153,경작지,6638.624468,431.6642578,10644.32803
2154,조경녹지,8078.289976,835.5049182,16129.5299
2156,산림지,129377.5207,2096.080741,150224.2319
2162,산림지,88635.17725,1686.050962,107631.4674
2164,경작지,13631.97368,532.1795526,18639.40969
2166,경작지,7937.872126,419.7442431,11820.92906
2169,경작지,12187.43055,499.6267794,16869.09699
2170,경작지,12491.50611,504.8492909,17224.99482
2178,하천,7771.539702,505.9932218,12704.29379
2181,경작지,14591.1404,552.2451452,19799.24133
2182,산림지,5444.87457,377.5182553,8943.411005
2184,경작지,15963.03705,616.0071328,21988.20529
2186,조경녹지,6052.194391,390.9711381,9648.634426
2196,조경녹지,65020.75559,1347.30071,78199.14254
2197,조경녹지,13874.05979,982.1006488,23540.56554
2200,경작지,22682.78711,784.2055647,30256.77006
2202,경작지,9579.057597,486.632049,14131.17723
2203,조경녹지,195433.2678,4202.644692,239051.2907
2207,조경녹지,60115.30945,1055.557732,70358.84741
2214,경작지,5560.708856,371.0768931,9324.261254
2233,경작지,14052.23952,685.6901614,21087.01859
2237,조경녹지,14052.29342,1396.653323,27751.53362
2242,조경녹지,206129.5207,4972.242021,260156.2078
2251,하천,31190.11897,1531.473483,46510.60029
2252,경작지,5973.668212,417.5735243,9874.889321
2253,경작지,6069.792424,473.8030712,10766.5763
2261,경작지,10102.88006,616.3416478,16022.79708
2265,조경녹지,18501.07892,2164.131238,40064.0285
2266,산림지,21656.71504,831.2708961,30385.67762
2290,경작지,71383.80633,1153.773472,82606.96617
2291,경작지,20277.3279,983.2936236,29792.50077
2292,경작지,50553.33083,1093.265402,61179.00019
2300,조경녹지,13395.77587,1310.690789,26241.04587
2301,조경녹지,23649.95076,3424.626778,57787.49034
2313,경작지,72775.71087,2975.16071,104356.4227
2314,산림지,7645.826162,556.3852063,12899.46052
2317,경작지,15634.65503,629.0132552,21613.62474
2318,경작지,76878.70392,1237.294944,89022.12297
2320,경작지,6763.439517,478.6507845,11350.39203
2321,경작지,7050.274555,470.1707699,11438.81835
2326,경작지,59678.05511,1095.175186,70640.05106
2330,경작지,17673.13029,761.2711425,25269.75767
2335,경작지,29648.94039,761.4480462,37301.64477
2336,조경녹지,7560.414993,768.8630749,14999.93048
2339,경작지,21925.91652,992.7516677,31691.02277
2343,경작지,15403.88141,694.036838,22029.57173
2346,경작지,9121.168165,452.9229352,13341.9359
2355,산림지,121709.12,2314.624083,147269.4255
2358,산림지,83532.13928,1540.062105,99226.25061
2364,경작지,9162.195747,551.024109,14383.52287
2370,조경녹지,11851.16097,509.6505413,16633.28184
2376,경작지,16759.26165,644.1944385,23338.8909
2378,경작지,17945.97721,697.6499991,24617.9798
2380,경작지,30761.23549,1428.950649,46332.40263
2394,산림지,13177.34396,516.5563934,18068.88421
2400,산림지,25138.4188,694.2069788,31776.9957
2410,조경녹지,72311.70654,4742.515157,121363.4985
2413,경작지,9099.02538,575.2716522,15900.11103
2415,하천,22080.31532,1318.66865,34982.19038
2417,조경녹지,5178.603569,1129.151108,16190.83984
2426,산림지,9907.695776,912.3417968,18774.2021
